group,time,pulserate,systolicbloodpressure,diastolicbloodpressure,quaternion,euler,acceleration
20,2019-03-09T19:56:35.618Z,0,0,0,"[0.9802321195602417, 0.13431385159492493, 0.1415949910879135, 0.03249065577983856]","[-15.38003921508789, -16.637760162353516, -1.534660816192627]","[0.021638469770550728, -0.018703103065490723, 0.06979390978813171]"
20,2019-03-09T19:56:36.625Z,0,0,0,"[0.9802280068397522, 0.1342202126979828, 0.14173990488052368, 0.03237006440758705]","[-15.371323585510254, -16.652381896972656, -1.5198774337768555]","[0.020510947331786156, -0.020045749843120575, 0.07263801246881485]"
20,2019-03-09T19:56:37.637Z,0,0,0,"[0.9802286028862, 0.134116530418396, 0.141819566488266, 0.0324314720928669]","[-15.358142852783203, -16.662317276000977, -1.5276412963867188]","[0.0216405987739563, -0.020350994542241096, 0.07340508699417114]"
20,2019-03-09T19:56:38.640Z,0,0,0,"[0.9802131056785583, 0.13411200046539307, 0.14195051789283752, 0.032348088920116425]","[-15.359405517578125, -16.676048278808594, -1.515885353088379]","[0.021354882046580315, -0.020323097705841064, 0.070850670337677]"
20,2019-03-09T19:56:39.646Z,0,0,0,"[0.9802196025848389, 0.1340559870004654, 0.1419316977262497, 0.0324682854115963]","[-15.350627899169922, -16.675661087036133, -1.531259298324585]","[0.020502950996160507, -0.021509798243641853, 0.0730060338973999]"
20,2019-03-09T19:56:40.652Z,94,107,64,"[0.9802232384681702, 0.13396520912647247, 0.14200425148010254, 0.03241192176938057]","[-15.340954780578613, -16.682979583740234, -1.525099515914917]","[0.019528651610016823, -0.020283903926610947, 0.07198670506477356]"
20,2019-03-09T19:56:41.659Z,94,107,64,"[0.9802345633506775, 0.13417865335941315, 0.14174331724643707, 0.03233053535223007]","[-15.367035865783691, -16.652097702026367, -1.5159140825271606]","[0.021594304591417313, -0.01972249709069729, 0.07160037010908127]"
20,2019-03-09T19:56:42.666Z,94,108,64,"[0.9802262783050537, 0.1341305673122406, 0.1418316811323166, 0.03239108994603157]","[-15.360538482666016, -16.663103103637695, -1.522469401359558]","[0.02118627168238163, -0.021336300298571587, 0.07260048389434814]"
20,2019-03-09T19:56:43.671Z,94,108,64,"[0.9802024364471436, 0.1340644210577011, 0.1420816034078598, 0.03229330852627754]","[-15.355042457580566, -16.69017791748047, -1.5082350969314575]","[0.021099034696817398, -0.021169792860746384, 0.07213806360960007]"
20,2019-03-09T19:56:44.678Z,94,109,64,"[0.9801913499832153, 0.13390059769153595, 0.14238016307353973, 0.031993359327316284]","[-15.341459274291992, -16.719562530517578, -1.4712353944778442]","[0.02172790840268135, -0.020864035934209824, 0.07337216287851334]"
20,2019-03-09T19:56:53.105Z,97,107,63,"[0.9802848100662231, 0.13629113137722015, 0.1386513113975525, 0.03524653986096382]","[-15.561867713928223, -16.346357345581055, -1.8697967529296875]","[0.02529987506568432, -0.01798362284898758, 0.07209546118974686]"
20,2019-03-09T19:56:54.112Z,97,106,63,"[0.9802168607711792, 0.1355358064174652, 0.13988904654979706, 0.03515920415520668]","[-15.476420402526855, -16.48557472229004, -1.8530775308609009]","[0.022727906703948975, -0.017521701753139496, 0.07321282476186752]"
20,2019-03-09T19:56:55.118Z,98,106,63,"[0.9801937937736511, 0.13520699739456177, 0.14039553701877594, 0.03504848852753639]","[-15.440360069274902, -16.541357040405273, -1.8378472328186035]","[0.02358677238225937, -0.01831521838903427, 0.07069505006074905]"
20,2019-03-09T19:56:56.125Z,99,105,63,"[0.9801614880561829, 0.13503660261631012, 0.1407945156097412, 0.035006944090127945]","[-15.421774864196777, -16.586183547973633, -1.8296849727630615]","[0.023059338331222534, -0.019015658646821976, 0.07046990096569061]"
